TRNS,0.0/0.0/0.0,-1.0/0.0/0.0,-3.7977914810180664/0.0/0.0,-5.652542591094971/0.0/0.0,-8.450334548950195/0.0/0.0,-11.511787414550781/0.0/0.0,-14.309578895568848/0.0/0.0,-16.164329528808594/0.0/0.0,-18.962121963500977/0.0/0.0,-21.72229766845703/0.0/0.0,-24.52008819580078/0.0/0.0,-26.374839782714844/0.0/0.0,-29.172632217407227/0.0/0.0,-32.23408508300781/0.0/0.0,-35.03187561035156/0.0/0.0,-36.886627197265625/0.0/0.0,-39.684417724609375/0.0/0.0,-42.817787170410156/0.0/0.0,-45.615577697753906/0.0/0.0,-47.47032928466797/0.0/0.0,-50.26811981201172/0.0/0.0,-53.32957458496094/0.0/0.0,-56.12736511230469/0.0/0.0,-57.98211669921875/0.0/0.0
1.0/-81.42910766601562/0.0,0.0119379816,0.004551756722,0.04947046185,0.002605360074,0.01720249948,0.006047746351,0.02275714643,0.01945206908,0.02675308535,5.430647358,2.598714664,54.76430501,23.20401282,0.08037199619,0.0006388613925,0.05302425109,0.07552231258,0.4942808976,0.3992352557,0.5508019071,0.50641747,0.00467726673,0.005150273855,0.004621999881
1.0/-84.62370300292969/0.0,0.009285556574,0.001716572379,0.05835971225,0.03131128058,0.04599251378,0.006097823974,0.01506844078,0.01793201331,0.02811525168,4.621232696,2.075932155,20.413865,24.68510785,0.05531938955,0.0004969167989,0.03222906086,0.07337657785,0.4389378346,0.3780650864,0.5746799652,0.5175282218,0.001679101966,0.0005341289212,0.001743062693
1.0/-87.76264190673828/0.0,0.0001247372283,0.001035875024,0.01981467495,0.0007673081878,0.002054420802,0.01463495246,0.02822157997,0.009655814885,0.0319680866,0.03391844492,0.02945786058,0.03386321638,0.04738694381,2.039959094,0.0001599291572,0.03403540642,0.07641944934,0.03727098012,0.02884936031,0.01626208117,0.02450011508,0.001080814184,0.0006876224621,0.0002103721499
1.0/-91.26646423339844/0.0,0.0001247372283,0.0009500290272,0.02782675518,0.000985206756,0.003188586812,0.01851325668,0.02363209891,0.01313073093,0.02768087599,0.04560877589,0.0252003593,0.0321465873,0.06430283783,2.783762732,0.0001466753596,0.04548441212,0.06844369707,0.03399844946,0.02915837928,0.0269537257,0.0214246156,0.0009912439478,0.0009459557628,0.0003858759876
1.0/-96.19404602050781/0.0,0.03066973133,0.0001635505718,0.0009776461152,0.004845900904,0.00536449959,0.02058346432,0.01632872084,0.01629661224,0.03045313954,0.04851946948,0.03302597554,0.0314226539,0.06756481626,0.02378932244,0.0006312659466,3.625884299,3.975832266,0.05156917443,0.03733796162,0.02753168194,0.02743747949,0.0004266146343,0.0004071233653,0.0003321490007
1.0/-102.21306610107422/0.0,0.02408578416,0.0001615867695,0.001448860825,0.008617886415,0.007765242847,0.01521943373,0.01107411191,0.008959390572,0.02242631558,0.02605697693,0.02683721728,0.0176078118,0.0482737498,0.0174518318,0.0001247372283,3.15063309,3.753473357,0.03375826062,0.02311342162,0.01894908127,0.02725616051,0.0008429842814,0.0005363132124,0.0003281607851
1.0/-105.40766143798828/0.0,0.02804746051,0.002187416658,0.002179264161,0.001080196403,0.0002780922967,0.00266414268,0.005089584149,0.006005618019,0.008013951313,0.2986587608,0.1984200385,0.1176112267,0.3003656306,0.03889823433,0.0004221451604,0.01078068492,0.03151795972,2.731179443,3.614452241,1.028648463,0.9122301455,0.001584939528,0.0007562632202,0.002591368602
1.0/-108.54660034179688/0.0,0.03820394465,0.001869502194,0.0001247372283,0.0003462011121,0.0007130248694,0.002087196719,0.004943039618,0.004694610666,0.003223162707,0.152173349,0.1142026506,0.05360952655,0.2028963335,0.004274337608,0.0001803957424,0.007458825453,0.01436651029,3.353985179,3.422591505,0.873179833,0.5936269026,0.002031881705,0.0003878097238,0.002610234738
1.0/-112.05042266845703/0.0,0.005961021521,0.001033109002,0.004322886152,0.001071363021,0.001733714258,0.001677686645,0.007342492681,0.004981050862,0.005699704947,0.333954886,0.3693385319,1.081914415,1.174758761,0.005758901557,0.00015950211,0.005431123866,0.01329799809,0.1846582114,0.3930260581,0.2415212162,0.1456610841,0.001257582859,0.0006857863541,0.001678483268
1.0/-116.9780044555664/0.0,0.007764034551,0.0001247372283,0.00301629487,0.000299017524,0.001077732324,0.003277697548,0.01468658138,0.0121643531,0.01026555516,0.5177842352,0.3533122397,0.3704248734,0.8352340235,0.01318496474,0.0003116193815,0.01421088002,0.02462312771,0.3254320234,0.3646165381,3.76953663,3.013604998,0.008774787474,0.007201539323,0.01865075661
